location,target_end_date,horizon,wis,overprediction,underprediction,dispersion,model_id,target,reference_date
colorado,2026-02-07,2,0.19988980044093402,0.021871426900227857,0,0.17801837354070613,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
savannah,2026-02-07,2,1.7860972634702916,0,1.6727674823337126,0.11332978113657902,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
floyd,2026-02-07,2,0.41843621432781175,0,0.2827746470769241,0.1356615672508876,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
hall,2026-02-07,2,0.4162440674172508,0.22891900804307724,0,0.18732505937417354,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
marietta,2026-02-07,2,0.1762945431719224,0,0.034870635668436685,0.1414239075034857,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
macon,2026-02-07,2,0.2231735990279251,0,0.11044213374455773,0.11273146528336737,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
henry,2026-02-07,2,0.2248614137454166,0.06056361807717216,0,0.16429779566824443,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
cherokee,2026-02-07,2,0.3149452824725046,0.08267261611090765,0,0.23227266636159694,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
athens,2026-02-07,2,0.7526254945993421,0.5195537577735051,0,0.2330717368258371,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
south-augusta,2026-02-07,2,0.3056402506099807,0,0.17294545571009312,0.13269479489988753,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
columbus,2026-02-07,2,2.558299022739131,0,2.3931565872828156,0.16514243545631574,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
la-grange,2026-02-07,2,0.16318842348125248,0,0.015231259928809237,0.14795716355244323,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
georgia,2026-02-07,2,0.23728834055364137,0,0.05033652782440187,0.1869518127292395,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
indianapolis,2026-02-07,2,0.24543238679567972,0,0.058538577291700596,0.1868938095039792,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
indiana,2026-02-07,2,0.7188603518737687,0.44680896335177944,0,0.2720513885219893,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
bangor,2026-02-07,2,0.6566694854034318,0.4135403288735284,0,0.24312915652990347,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
portland,2026-02-07,2,0.17405982250968616,0.008912881480322939,0,0.16514694102936323,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
maine,2026-02-07,2,0.26666712944706294,0,0.06687563419342041,0.1997914952536425,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
baltimore,2026-02-07,2,0.3086828427513441,0.14815021342701382,0,0.16053262932433027,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
frederick,2026-02-07,2,0.12865401835077345,0.023780862755245626,0,0.10487315559552779,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
montgomery,2026-02-07,2,0.3126840297174123,0.16345034811231832,0,0.1492336816050941,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
harford,2026-02-07,2,0.12176038617475167,0.023070807721879725,0,0.09868957845287195,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
maryland,2026-02-07,2,0.22724638800654148,0.12044776280721031,0,0.10679862519933118,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
worcester,2026-02-07,2,0.1886679888599449,0.022465793291727695,0,0.16620219556821725,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
pittsfield,2026-02-07,2,0.24154331237905557,0.051599492761823865,0,0.18994381961723172,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
boston,2026-02-07,2,1.2295209906664162,0.9856270327832964,0,0.2438939578831197,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
springfield,2026-02-07,2,0.4538813432885541,0.2168468435605367,0,0.23703449972801746,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
new-bedford,2026-02-07,2,0.15613452922138907,0,0.03967405584123399,0.11646047338015508,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
lynn,2026-02-07,2,0.2432834895617433,0.04567392879062229,0,0.19760956077112105,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
massachusetts,2026-02-07,2,0.4394340121911633,0.24938345882627708,0,0.1900505533648863,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
st-paul,2026-02-07,2,0.20964168880548747,0.07060612890455459,0,0.13903555990093291,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
duluth,2026-02-07,2,0.1823047239250607,0.005914254188537576,0,0.17639046973652311,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
minneapolis,2026-02-07,2,0.1501298866545161,0,0.029933257897694916,0.12019662875682117,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
st-cloud,2026-02-07,2,0.6660546289963853,0,0.4945433987511528,0.17151123024523268,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
rochester,2026-02-07,2,1.7003035211314748,0,1.5313549651039964,0.1689485560274787,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
minnesota,2026-02-07,2,0.19699125092890532,0.016530004077487517,0,0.18046124685141782,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
columbia,2026-02-07,2,0.3254085046135716,0,0.18617755307091594,0.13923095154265566,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
greenville,2026-02-07,2,0.20502583569122693,0,0.07051876359515724,0.13450707209606969,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
florence,2026-02-07,2,1.5637531485739675,0,1.4396761356459713,0.12407701292799588,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
charleston,2026-02-07,2,2.9160730217645563,0,2.7858594181802534,0.13021360358430287,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
rock-hill,2026-02-07,2,0.2154489760514764,0.004710632430182561,0,0.21073834362129384,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
horry,2026-02-07,2,0.7459608845826649,0,0.6073666228188404,0.13859426176382444,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
south-carolina,2026-02-07,2,0.4831339562518727,0,0.31527939107682956,0.16785456517504324,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
houston,2026-02-07,2,0.2048268791702059,0.05149126052856445,0,0.15333561864164144,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
san-antonio,2026-02-07,2,5.369847075964013,0,5.217726729181076,0.15212034678293604,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
