model_id,location,target_end_date,horizon,target,reference_date,output_type,oracle_value,quantile_0.25,quantile_0.75,coverage_50
ACCIDDA-InfluPaint,montgomery,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,0.83,1.111418902873993,1.860526204109192,0
ACCIDDA-InfluPaint,montgomery,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,0.84,1.0489269495010376,2.1317933797836304,0
ACCIDDA-InfluPaint,montgomery,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,1.28,0.857674777507782,2.0995759367942814,1
ACCIDDA-InfluPaint,harford,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,1.14,1.0324938297271729,1.6376490592956547,1
ACCIDDA-InfluPaint,harford,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,0.98,1.111418902873993,1.860526204109192,0
ACCIDDA-InfluPaint,harford,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,0.79,1.0489269495010376,2.1317933797836304,0
ACCIDDA-InfluPaint,harford,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,1.31,0.857674777507782,2.0995759367942814,1
ACCIDDA-InfluPaint,worcester,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,2.28,2.54484486579895,3.658674418926239,0
ACCIDDA-InfluPaint,worcester,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,1.8,1.9201566874980929,3.3293887972831735,0
ACCIDDA-InfluPaint,worcester,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,1.6,1.6817874908447266,3.3020463585853577,0
ACCIDDA-InfluPaint,worcester,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,1.75,1.3336220383644104,3.19291889667511,1
ACCIDDA-InfluPaint,pittsfield,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,2.01,2.54484486579895,3.658674418926239,0
ACCIDDA-InfluPaint,pittsfield,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,1.53,1.9201566874980929,3.3293887972831735,0
ACCIDDA-InfluPaint,pittsfield,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,1.38,1.6817874908447266,3.3020463585853577,0
ACCIDDA-InfluPaint,pittsfield,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,1.92,1.3336220383644104,3.19291889667511,1
ACCIDDA-InfluPaint,boston,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,1.42,2.54484486579895,3.658674418926239,0
ACCIDDA-InfluPaint,boston,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,1.27,1.9201566874980929,3.3293887972831735,0
ACCIDDA-InfluPaint,boston,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,1.26,1.6817874908447266,3.3020463585853577,0
ACCIDDA-InfluPaint,boston,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,1.73,1.3336220383644104,3.19291889667511,1
ACCIDDA-InfluPaint,springfield,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,2.2,2.54484486579895,3.658674418926239,0
ACCIDDA-InfluPaint,springfield,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,1.5,1.9201566874980929,3.3293887972831735,0
ACCIDDA-InfluPaint,springfield,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,1.45,1.6817874908447266,3.3020463585853577,0
ACCIDDA-InfluPaint,springfield,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,1.77,1.3336220383644104,3.19291889667511,1
ACCIDDA-InfluPaint,new-bedford,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,1.8,2.54484486579895,3.658674418926239,0
ACCIDDA-InfluPaint,new-bedford,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,1.74,1.9201566874980929,3.3293887972831735,0
ACCIDDA-InfluPaint,new-bedford,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,1.93,1.6817874908447266,3.3020463585853577,1
ACCIDDA-InfluPaint,new-bedford,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,2.29,1.3336220383644104,3.19291889667511,1
ACCIDDA-InfluPaint,lynn,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,2.01,2.54484486579895,3.658674418926239,0
ACCIDDA-InfluPaint,lynn,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,1.73,1.9201566874980929,3.3293887972831735,0
ACCIDDA-InfluPaint,lynn,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,1.64,1.6817874908447266,3.3020463585853577,0
ACCIDDA-InfluPaint,lynn,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,1.91,1.3336220383644104,3.19291889667511,1
ACCIDDA-InfluPaint,st-paul,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,1.52,2.552475094795227,3.771870195865631,0
ACCIDDA-InfluPaint,st-paul,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,1.24,1.890385776758194,3.1940651535987854,0
ACCIDDA-InfluPaint,st-paul,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,1.51,0.9830317199230194,2.1177667379379272,1
ACCIDDA-InfluPaint,st-paul,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,1.72,0.6766333729028702,1.448577135801316,0
ACCIDDA-InfluPaint,duluth,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,1.48,2.552475094795227,3.771870195865631,0
ACCIDDA-InfluPaint,duluth,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,2.22,1.890385776758194,3.1940651535987854,1
ACCIDDA-InfluPaint,duluth,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,1.84,0.9830317199230194,2.1177667379379272,1
ACCIDDA-InfluPaint,duluth,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,2.48,0.6766333729028702,1.448577135801316,0
ACCIDDA-InfluPaint,minneapolis,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,1.73,2.552475094795227,3.771870195865631,0
ACCIDDA-InfluPaint,minneapolis,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,1.6,1.890385776758194,3.1940651535987854,0
ACCIDDA-InfluPaint,minneapolis,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,1.87,0.9830317199230194,2.1177667379379272,1
ACCIDDA-InfluPaint,minneapolis,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,1.9,0.6766333729028702,1.448577135801316,0
ACCIDDA-InfluPaint,st-cloud,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,3.75,2.552475094795227,3.771870195865631,1
ACCIDDA-InfluPaint,st-cloud,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,3.76,1.890385776758194,3.1940651535987854,0
ACCIDDA-InfluPaint,st-cloud,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,4.16,0.9830317199230194,2.1177667379379272,0
ACCIDDA-InfluPaint,st-cloud,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,4.52,0.6766333729028702,1.448577135801316,0
ACCIDDA-InfluPaint,rochester,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,6.17,2.552475094795227,3.771870195865631,0
ACCIDDA-InfluPaint,rochester,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,4.8,1.890385776758194,3.1940651535987854,0
ACCIDDA-InfluPaint,rochester,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,4.58,0.9830317199230194,2.1177667379379272,0
ACCIDDA-InfluPaint,rochester,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,4.73,0.6766333729028702,1.448577135801316,0
ACCIDDA-InfluPaint,columbia,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,2.72,2.6169588565826416,3.667188584804535,1
ACCIDDA-InfluPaint,columbia,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,2.65,1.67439866065979,2.861979126930237,1
ACCIDDA-InfluPaint,columbia,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,2.85,1.621772587299347,3.0663793683052067,1
ACCIDDA-InfluPaint,columbia,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,3.06,1.2115894556045532,2.620065152645111,0
ACCIDDA-InfluPaint,greenville,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,2.99,2.6169588565826416,3.667188584804535,1
ACCIDDA-InfluPaint,greenville,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,2.12,1.67439866065979,2.861979126930237,1
ACCIDDA-InfluPaint,greenville,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,2.49,1.621772587299347,3.0663793683052067,1
ACCIDDA-InfluPaint,greenville,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,3.5,1.2115894556045532,2.620065152645111,0
ACCIDDA-InfluPaint,florence,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,3.96,2.6169588565826416,3.667188584804535,0
ACCIDDA-InfluPaint,florence,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,4.42,1.67439866065979,2.861979126930237,0
ACCIDDA-InfluPaint,florence,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,3.98,1.621772587299347,3.0663793683052067,0
ACCIDDA-InfluPaint,florence,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,4.1,1.2115894556045532,2.620065152645111,0
ACCIDDA-InfluPaint,charleston,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,4.63,2.6169588565826416,3.667188584804535,0
ACCIDDA-InfluPaint,charleston,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,5.61,1.67439866065979,2.861979126930237,0
ACCIDDA-InfluPaint,charleston,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,4.69,1.621772587299347,3.0663793683052067,0
ACCIDDA-InfluPaint,charleston,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,3.36,1.2115894556045532,2.620065152645111,0
ACCIDDA-InfluPaint,rock-hill,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,1.76,2.6169588565826416,3.667188584804535,0
ACCIDDA-InfluPaint,rock-hill,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,2.27,1.67439866065979,2.861979126930237,1
ACCIDDA-InfluPaint,rock-hill,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,1.43,1.621772587299347,3.0663793683052067,0
ACCIDDA-InfluPaint,rock-hill,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,1.9,1.2115894556045532,2.620065152645111,1
ACCIDDA-InfluPaint,horry,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,3.04,2.6169588565826416,3.667188584804535,1
ACCIDDA-InfluPaint,horry,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,3.35,1.67439866065979,2.861979126930237,0
ACCIDDA-InfluPaint,horry,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,2.18,1.621772587299347,3.0663793683052067,1
ACCIDDA-InfluPaint,horry,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,2.74,1.2115894556045532,2.620065152645111,0
ACCIDDA-InfluPaint,houston,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,1.56,1.7095482349395752,2.5488608479499817,0
ACCIDDA-InfluPaint,houston,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,1.5,1.6335211992263794,2.7129731178283696,0
ACCIDDA-InfluPaint,houston,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,1.6,1.3552089929580688,2.536359429359437,1
ACCIDDA-InfluPaint,houston,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,1.16,1.0579548478126526,2.2350593209266667,1
ACCIDDA-InfluPaint,san-antonio,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,6.82,1.7095482349395752,2.5488608479499817,0
ACCIDDA-InfluPaint,san-antonio,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,8.62,1.6335211992263794,2.7129731178283696,0
ACCIDDA-InfluPaint,san-antonio,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,8.45,1.3552089929580688,2.536359429359437,0
ACCIDDA-InfluPaint,san-antonio,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,6.2,1.0579548478126526,2.2350593209266667,0
ACCIDDA-InfluPaint,beaumont,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,2.86,1.7095482349395752,2.5488608479499817,0
ACCIDDA-InfluPaint,beaumont,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,3.79,1.6335211992263794,2.7129731178283696,0
ACCIDDA-InfluPaint,beaumont,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,3.08,1.3552089929580688,2.536359429359437,0
ACCIDDA-InfluPaint,beaumont,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,1.87,1.0579548478126526,2.2350593209266667,1
ACCIDDA-InfluPaint,el-paso,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,1.21,1.7095482349395752,2.5488608479499817,0
ACCIDDA-InfluPaint,el-paso,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,1.04,1.6335211992263794,2.7129731178283696,0
ACCIDDA-InfluPaint,el-paso,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,1,1.3552089929580688,2.536359429359437,0
ACCIDDA-InfluPaint,el-paso,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,1.43,1.0579548478126526,2.2350593209266667,1
ACCIDDA-InfluPaint,austin,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,3.54,1.7095482349395752,2.5488608479499817,0
ACCIDDA-InfluPaint,austin,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,4.27,1.6335211992263794,2.7129731178283696,0
ACCIDDA-InfluPaint,austin,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,4.74,1.3552089929580688,2.536359429359437,0
ACCIDDA-InfluPaint,austin,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,3.56,1.0579548478126526,2.2350593209266667,0
ACCIDDA-InfluPaint,dallas,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,4.57,1.7095482349395752,2.5488608479499817,0
ACCIDDA-InfluPaint,dallas,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,3.16,1.6335211992263794,2.7129731178283696,0
ACCIDDA-InfluPaint,dallas,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,3.66,1.3552089929580688,2.536359429359437,0
ACCIDDA-InfluPaint,dallas,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,3.14,1.0579548478126526,2.2350593209266667,0
ACCIDDA-InfluPaint,provo,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,2.41,2.8133488297462463,4.017830014228821,0
ACCIDDA-InfluPaint,provo,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,3.07,1.8842919766902924,3.151733696460724,1
