location,target_end_date,horizon,reference_date,wis,model_id,target
provo,2026-02-07,2,2026-02-07,0.23941604210270773,ACCIDDA-InfluPaint,Flu ED visits pct
salt-lake-city,2026-02-07,2,2026-02-07,0.2579196651114358,ACCIDDA-InfluPaint,Flu ED visits pct
ogden,2026-02-07,2,2026-02-07,0.2460827087693744,ACCIDDA-InfluPaint,Flu ED visits pct
roanoke,2026-02-07,2,2026-02-07,0.29088304094142386,ACCIDDA-InfluPaint,Flu ED visits pct
nenc,2026-02-07,2,2026-02-07,0.4047906181050674,ACCIDDA-InfluPaint,Flu ED visits pct
senc,2026-02-07,2,2026-02-07,0.5181239514384006,ACCIDDA-InfluPaint,Flu ED visits pct
fay-area,2026-02-07,2,2026-02-07,0.391408743808667,ACCIDDA-InfluPaint,Flu ED visits pct
rtp-area,2026-02-07,2,2026-02-07,0.41145728477173404,ACCIDDA-InfluPaint,Flu ED visits pct
triad-area,2026-02-07,2,2026-02-07,0.6066056139767171,ACCIDDA-InfluPaint,Flu ED visits pct
wnc,2026-02-07,2,2026-02-07,0.5581239514384007,ACCIDDA-InfluPaint,Flu ED visits pct
clt-area,2026-02-07,2,2026-02-07,0.35859657335612527,ACCIDDA-InfluPaint,Flu ED visits pct
portland-or,2026-02-07,2,2026-02-07,4.395281450533205,ACCIDDA-InfluPaint,Flu ED visits pct
salem,2026-02-07,2,2026-02-07,6.6752814505332045,ACCIDDA-InfluPaint,Flu ED visits pct
deschutes,2026-02-07,2,2026-02-07,4.555281450533204,ACCIDDA-InfluPaint,Flu ED visits pct
eugene,2026-02-07,2,2026-02-07,4.435281450533204,ACCIDDA-InfluPaint,Flu ED visits pct
medford,2026-02-07,2,2026-02-07,6.415281450533204,ACCIDDA-InfluPaint,Flu ED visits pct
denver,2026-02-07,1,2026-02-07,0.544955446637339,ACCIDDA-InfluPaint,Flu ED visits pct
mesa,2026-02-07,1,2026-02-07,0.22201106063193754,ACCIDDA-InfluPaint,Flu ED visits pct
colorado-springs,2026-02-07,1,2026-02-07,0.2920110606319375,ACCIDDA-InfluPaint,Flu ED visits pct
weld,2026-02-07,1,2026-02-07,0.49954429459240707,ACCIDDA-InfluPaint,Flu ED visits pct
boulder,2026-02-07,1,2026-02-07,0.23082667183544903,ACCIDDA-InfluPaint,Flu ED visits pct
larimer,2026-02-07,1,2026-02-07,0.37534439396527086,ACCIDDA-InfluPaint,Flu ED visits pct
savannah,2026-02-07,1,2026-02-07,1.5359105858620672,ACCIDDA-InfluPaint,Flu ED visits pct
floyd,2026-02-07,1,2026-02-07,0.24937563989725373,ACCIDDA-InfluPaint,Flu ED visits pct
hall,2026-02-07,1,2026-02-07,0.14311014904744096,ACCIDDA-InfluPaint,Flu ED visits pct
marietta,2026-02-07,1,2026-02-07,0.15636799905863075,ACCIDDA-InfluPaint,Flu ED visits pct
macon,2026-02-07,1,2026-02-07,0.16970133239196408,ACCIDDA-InfluPaint,Flu ED visits pct
henry,2026-02-07,1,2026-02-07,0.1686657046029965,ACCIDDA-InfluPaint,Flu ED visits pct
cherokee,2026-02-07,1,2026-02-07,0.30270897323058715,ACCIDDA-InfluPaint,Flu ED visits pct
athens,2026-02-07,1,2026-02-07,0.16199903793632983,ACCIDDA-InfluPaint,Flu ED visits pct
south-augusta,2026-02-07,1,2026-02-07,0.29937563989725374,ACCIDDA-InfluPaint,Flu ED visits pct
columbus,2026-02-07,1,2026-02-07,3.5259105858620665,ACCIDDA-InfluPaint,Flu ED visits pct
la-grange,2026-02-07,1,2026-02-07,0.17414577683640853,ACCIDDA-InfluPaint,Flu ED visits pct
indianapolis,2026-02-07,1,2026-02-07,1.0877104775773152,ACCIDDA-InfluPaint,Flu ED visits pct
bangor,2026-02-07,1,2026-02-07,0.25137172048290557,ACCIDDA-InfluPaint,Flu ED visits pct
portland,2026-02-07,1,2026-02-07,0.16199763601024952,ACCIDDA-InfluPaint,Flu ED visits pct
baltimore,2026-02-07,1,2026-02-07,0.8926273927258122,ACCIDDA-InfluPaint,Flu ED visits pct
frederick,2026-02-07,1,2026-02-07,0.42262739272581207,ACCIDDA-InfluPaint,Flu ED visits pct
montgomery,2026-02-07,1,2026-02-07,0.6526273927258122,ACCIDDA-InfluPaint,Flu ED visits pct
harford,2026-02-07,1,2026-02-07,0.502627392725812,ACCIDDA-InfluPaint,Flu ED visits pct
worcester,2026-02-07,1,2026-02-07,0.14955450031492448,ACCIDDA-InfluPaint,Flu ED visits pct
pittsfield,2026-02-07,1,2026-02-07,0.21432265811496315,ACCIDDA-InfluPaint,Flu ED visits pct
boston,2026-02-07,1,2026-02-07,0.30098932478162976,ACCIDDA-InfluPaint,Flu ED visits pct
springfield,2026-02-07,1,2026-02-07,0.22432265811496319,ACCIDDA-InfluPaint,Flu ED visits pct
new-bedford,2026-02-07,1,2026-02-07,0.15622116698159116,ACCIDDA-InfluPaint,Flu ED visits pct
lynn,2026-02-07,1,2026-02-07,0.1573322780927023,ACCIDDA-InfluPaint,Flu ED visits pct
st-paul,2026-02-07,1,2026-02-07,3.3174304196569655,ACCIDDA-InfluPaint,Flu ED visits pct
duluth,2026-02-07,1,2026-02-07,2.3374304196569655,ACCIDDA-InfluPaint,Flu ED visits pct
minneapolis,2026-02-07,1,2026-02-07,2.9574304196569656,ACCIDDA-InfluPaint,Flu ED visits pct
st-cloud,2026-02-07,1,2026-02-07,0.8679616464508906,ACCIDDA-InfluPaint,Flu ED visits pct
rochester,2026-02-07,1,2026-02-07,0.42091233597861405,ACCIDDA-InfluPaint,Flu ED visits pct
columbia,2026-02-07,1,2026-02-07,0.1985852917035421,ACCIDDA-InfluPaint,Flu ED visits pct
greenville,2026-02-07,1,2026-02-07,0.3326692689789666,ACCIDDA-InfluPaint,Flu ED visits pct
florence,2026-02-07,1,2026-02-07,0.5381614565849302,ACCIDDA-InfluPaint,Flu ED visits pct
charleston,2026-02-07,1,2026-02-07,1.6105998969078064,ACCIDDA-InfluPaint,Flu ED visits pct
rock-hill,2026-02-07,1,2026-02-07,0.28266926897896666,ACCIDDA-InfluPaint,Flu ED visits pct
horry,2026-02-07,1,2026-02-07,0.19489356544282707,ACCIDDA-InfluPaint,Flu ED visits pct
houston,2026-02-07,1,2026-02-07,0.39189047747188144,ACCIDDA-InfluPaint,Flu ED visits pct
san-antonio,2026-02-07,1,2026-02-07,5.206072793934079,ACCIDDA-InfluPaint,Flu ED visits pct
beaumont,2026-02-07,1,2026-02-07,0.5176519281334346,ACCIDDA-InfluPaint,Flu ED visits pct
el-paso,2026-02-07,1,2026-02-07,0.7938078836599985,ACCIDDA-InfluPaint,Flu ED visits pct
austin,2026-02-07,1,2026-02-07,0.8585730323526589,ACCIDDA-InfluPaint,Flu ED visits pct
dallas,2026-02-07,1,2026-02-07,0.24549322909779026,ACCIDDA-InfluPaint,Flu ED visits pct
provo,2026-02-07,1,2026-02-07,0.18694381650951178,ACCIDDA-InfluPaint,Flu ED visits pct
salt-lake-city,2026-02-07,1,2026-02-07,0.17472159428728953,ACCIDDA-InfluPaint,Flu ED visits pct
ogden,2026-02-07,1,2026-02-07,0.18027714984284512,ACCIDDA-InfluPaint,Flu ED visits pct
roanoke,2026-02-07,1,2026-02-07,0.4111922417746651,ACCIDDA-InfluPaint,Flu ED visits pct
nenc,2026-02-07,1,2026-02-07,0.5440799411800173,ACCIDDA-InfluPaint,Flu ED visits pct
senc,2026-02-07,1,2026-02-07,0.813979980746905,ACCIDDA-InfluPaint,Flu ED visits pct
fay-area,2026-02-07,1,2026-02-07,0.2431862360239029,ACCIDDA-InfluPaint,Flu ED visits pct
rtp-area,2026-02-07,1,2026-02-07,0.559635496735573,ACCIDDA-InfluPaint,Flu ED visits pct
triad-area,2026-02-07,1,2026-02-07,1.0439799807469052,ACCIDDA-InfluPaint,Flu ED visits pct
wnc,2026-02-07,1,2026-02-07,0.9339799807469054,ACCIDDA-InfluPaint,Flu ED visits pct
clt-area,2026-02-07,1,2026-02-07,0.3910895258188248,ACCIDDA-InfluPaint,Flu ED visits pct
portland-or,2026-02-07,1,2026-02-07,4.142347688310676,ACCIDDA-InfluPaint,Flu ED visits pct
salem,2026-02-07,1,2026-02-07,6.422347688310676,ACCIDDA-InfluPaint,Flu ED visits pct
deschutes,2026-02-07,1,2026-02-07,4.302347688310675,ACCIDDA-InfluPaint,Flu ED visits pct
eugene,2026-02-07,1,2026-02-07,4.182347688310676,ACCIDDA-InfluPaint,Flu ED visits pct
medford,2026-02-07,1,2026-02-07,6.1623476883106765,ACCIDDA-InfluPaint,Flu ED visits pct
denver,2026-02-14,3,2026-02-14,0.21304878782480963,ACCIDDA-InfluPaint,Flu ED visits pct
mesa,2026-02-14,3,2026-02-14,0.2108825086678069,ACCIDDA-InfluPaint,Flu ED visits pct
colorado-springs,2026-02-14,3,2026-02-14,0.2797154544914763,ACCIDDA-InfluPaint,Flu ED visits pct
weld,2026-02-14,3,2026-02-14,0.22310473089002908,ACCIDDA-InfluPaint,Flu ED visits pct
boulder,2026-02-14,3,2026-02-14,0.7230388558366228,ACCIDDA-InfluPaint,Flu ED visits pct
larimer,2026-02-14,3,2026-02-14,0.2541598989359208,ACCIDDA-InfluPaint,Flu ED visits pct
savannah,2026-02-14,3,2026-02-14,0.6052645615529683,ACCIDDA-InfluPaint,Flu ED visits pct
floyd,2026-02-14,3,2026-02-14,0.4019312282196349,ACCIDDA-InfluPaint,Flu ED visits pct
hall,2026-02-14,3,2026-02-14,0.2685142269192471,ACCIDDA-InfluPaint,Flu ED visits pct
marietta,2026-02-14,3,2026-02-14,0.3449443039422234,ACCIDDA-InfluPaint,Flu ED visits pct
macon,2026-02-14,3,2026-02-14,0.2718475602525804,ACCIDDA-InfluPaint,Flu ED visits pct
henry,2026-02-14,3,2026-02-14,0.2862920046970248,ACCIDDA-InfluPaint,Flu ED visits pct
cherokee,2026-02-14,3,2026-02-14,0.5852645615529684,ACCIDDA-InfluPaint,Flu ED visits pct
athens,2026-02-14,3,2026-02-14,0.3071665261644456,ACCIDDA-InfluPaint,Flu ED visits pct
south-augusta,2026-02-14,3,2026-02-14,0.3752645615529684,ACCIDDA-InfluPaint,Flu ED visits pct
columbus,2026-02-14,3,2026-02-14,0.8273895429033371,ACCIDDA-InfluPaint,Flu ED visits pct
la-grange,2026-02-14,3,2026-02-14,0.5052645615529683,ACCIDDA-InfluPaint,Flu ED visits pct
indianapolis,2026-02-14,3,2026-02-14,0.38171348957551865,ACCIDDA-InfluPaint,Flu ED visits pct
bangor,2026-02-14,3,2026-02-14,0.4956462516718442,ACCIDDA-InfluPaint,Flu ED visits pct
portland,2026-02-14,3,2026-02-14,0.23899323155482616,ACCIDDA-InfluPaint,Flu ED visits pct
baltimore,2026-02-14,3,2026-02-14,0.335195091780689,ACCIDDA-InfluPaint,Flu ED visits pct
frederick,2026-02-14,3,2026-02-14,0.18413717132475646,ACCIDDA-InfluPaint,Flu ED visits pct
montgomery,2026-02-14,3,2026-02-14,0.2750098267694315,ACCIDDA-InfluPaint,Flu ED visits pct
harford,2026-02-14,3,2026-02-14,0.2916764934360981,ACCIDDA-InfluPaint,Flu ED visits pct
worcester,2026-02-14,3,2026-02-14,0.345218062069681,ACCIDDA-InfluPaint,Flu ED visits pct
pittsfield,2026-02-14,3,2026-02-14,0.41855139540301434,ACCIDDA-InfluPaint,Flu ED visits pct
boston,2026-02-14,3,2026-02-14,0.45855139540301426,ACCIDDA-InfluPaint,Flu ED visits pct
springfield,2026-02-14,3,2026-02-14,0.395218062069681,ACCIDDA-InfluPaint,Flu ED visits pct
new-bedford,2026-02-14,3,2026-02-14,0.29037639743751953,ACCIDDA-InfluPaint,Flu ED visits pct
lynn,2026-02-14,3,2026-02-14,0.33188472873634767,ACCIDDA-InfluPaint,Flu ED visits pct
st-paul,2026-02-14,3,2026-02-14,0.17737157935069664,ACCIDDA-InfluPaint,Flu ED visits pct
duluth,2026-02-14,3,2026-02-14,0.21403824601736332,ACCIDDA-InfluPaint,Flu ED visits pct
minneapolis,2026-02-14,3,2026-02-14,0.21737157935069668,ACCIDDA-InfluPaint,Flu ED visits pct
st-cloud,2026-02-14,3,2026-02-14,1.364809576479925,ACCIDDA-InfluPaint,Flu ED visits pct
rochester,2026-02-14,3,2026-02-14,1.784809576479925,ACCIDDA-InfluPaint,Flu ED visits pct
columbia,2026-02-14,3,2026-02-14,0.2786281509945791,ACCIDDA-InfluPaint,Flu ED visits pct
greenville,2026-02-14,3,2026-02-14,0.2386281509945791,ACCIDDA-InfluPaint,Flu ED visits pct
florence,2026-02-14,3,2026-02-14,0.6072105135934219,ACCIDDA-InfluPaint,Flu ED visits pct
charleston,2026-02-14,3,2026-02-14,0.9984358134286269,ACCIDDA-InfluPaint,Flu ED visits pct
rock-hill,2026-02-14,3,2026-02-14,0.3438066231956085,ACCIDDA-InfluPaint,Flu ED visits pct
horry,2026-02-14,3,2026-02-14,0.2178571593513092,ACCIDDA-InfluPaint,Flu ED visits pct
houston,2026-02-14,3,2026-02-14,0.20464432508581223,ACCIDDA-InfluPaint,Flu ED visits pct
san-antonio,2026-02-14,3,2026-02-14,5.148708905155458,ACCIDDA-InfluPaint,Flu ED visits pct
beaumont,2026-02-14,3,2026-02-14,0.4368511163277758,ACCIDDA-InfluPaint,Flu ED visits pct
el-paso,2026-02-14,3,2026-02-14,0.35024632352093865,ACCIDDA-InfluPaint,Flu ED visits pct
austin,2026-02-14,3,2026-02-14,1.4510257037894585,ACCIDDA-InfluPaint,Flu ED visits pct
dallas,2026-02-14,3,2026-02-14,0.7115717914783289,ACCIDDA-InfluPaint,Flu ED visits pct
provo,2026-02-14,3,2026-02-14,0.22069204772512135,ACCIDDA-InfluPaint,Flu ED visits pct
salt-lake-city,2026-02-14,3,2026-02-14,0.39800338180528727,ACCIDDA-InfluPaint,Flu ED visits pct
ogden,2026-02-14,3,2026-02-14,0.3446700484719539,ACCIDDA-InfluPaint,Flu ED visits pct
roanoke,2026-02-14,3,2026-02-14,0.2145985880990824,ACCIDDA-InfluPaint,Flu ED visits pct
nenc,2026-02-14,3,2026-02-14,0.5383617376618918,ACCIDDA-InfluPaint,Flu ED visits pct
senc,2026-02-14,3,2026-02-14,0.7625739412175286,ACCIDDA-InfluPaint,Flu ED visits pct
fay-area,2026-02-14,3,2026-02-14,0.4114258752266568,ACCIDDA-InfluPaint,Flu ED visits pct
rtp-area,2026-02-14,3,2026-02-14,0.452238406803873,ACCIDDA-InfluPaint,Flu ED visits pct
triad-area,2026-02-14,3,2026-02-14,0.7014628301064176,ACCIDDA-InfluPaint,Flu ED visits pct
wnc,2026-02-14,3,2026-02-14,0.5916950709952251,ACCIDDA-InfluPaint,Flu ED visits pct
clt-area,2026-02-14,3,2026-02-14,0.4089050734705397,ACCIDDA-InfluPaint,Flu ED visits pct
portland-or,2026-02-14,3,2026-02-14,2.769803817965504,ACCIDDA-InfluPaint,Flu ED visits pct
salem,2026-02-14,3,2026-02-14,5.9898038179655035,ACCIDDA-InfluPaint,Flu ED visits pct
deschutes,2026-02-14,3,2026-02-14,4.059803817965504,ACCIDDA-InfluPaint,Flu ED visits pct
eugene,2026-02-14,3,2026-02-14,3.069803817965504,ACCIDDA-InfluPaint,Flu ED visits pct
medford,2026-02-14,3,2026-02-14,5.759803817965505,ACCIDDA-InfluPaint,Flu ED visits pct
denver,2026-02-14,2,2026-02-14,0.5603410803609425,ACCIDDA-InfluPaint,Flu ED visits pct
mesa,2026-02-14,2,2026-02-14,0.5770077470276092,ACCIDDA-InfluPaint,Flu ED visits pct
colorado-springs,2026-02-14,2,2026-02-14,0.35348267641332426,ACCIDDA-InfluPaint,Flu ED visits pct
weld,2026-02-14,2,2026-02-14,0.6381188581387202,ACCIDDA-InfluPaint,Flu ED visits pct
