location,target_end_date,horizon,wis,model_id,target
rochester,2026-02-14,3,0.4317663381254071,ACCIDDA-InfluPaint,Flu ED visits pct
columbia,2026-02-14,3,0.08148955509535498,ACCIDDA-InfluPaint,Flu ED visits pct
greenville,2026-02-14,3,0.0705816204192042,ACCIDDA-InfluPaint,Flu ED visits pct
florence,2026-02-14,3,0.1551240548659295,ACCIDDA-InfluPaint,Flu ED visits pct
charleston,2026-02-14,3,0.22849201618240864,ACCIDDA-InfluPaint,Flu ED visits pct
rock-hill,2026-02-14,3,0.11127239849150745,ACCIDDA-InfluPaint,Flu ED visits pct
horry,2026-02-14,3,0.06450476262157091,ACCIDDA-InfluPaint,Flu ED visits pct
houston,2026-02-14,3,0.0687954410911315,ACCIDDA-InfluPaint,Flu ED visits pct
san-antonio,2026-02-14,3,0.8315650726790327,ACCIDDA-InfluPaint,Flu ED visits pct
beaumont,2026-02-14,3,0.131118483265226,ACCIDDA-InfluPaint,Flu ED visits pct
el-paso,2026-02-14,3,0.13427642321568747,ACCIDDA-InfluPaint,Flu ED visits pct
austin,2026-02-14,3,0.3351450315772451,ACCIDDA-InfluPaint,Flu ED visits pct
dallas,2026-02-14,3,0.19361426978687435,ACCIDDA-InfluPaint,Flu ED visits pct
provo,2026-02-14,3,0.06766009193537847,ACCIDDA-InfluPaint,Flu ED visits pct
salt-lake-city,2026-02-14,3,0.1123542943732514,ACCIDDA-InfluPaint,Flu ED visits pct
ogden,2026-02-14,3,0.09962402812912141,ACCIDDA-InfluPaint,Flu ED visits pct
roanoke,2026-02-14,3,0.06309777573395757,ACCIDDA-InfluPaint,Flu ED visits pct
nenc,2026-02-14,3,0.1269036776117061,ACCIDDA-InfluPaint,Flu ED visits pct
senc,2026-02-14,3,0.20691793938431313,ACCIDDA-InfluPaint,Flu ED visits pct
fay-area,2026-02-14,3,0.08760494686605019,ACCIDDA-InfluPaint,Flu ED visits pct
rtp-area,2026-02-14,3,0.10028324518010562,ACCIDDA-InfluPaint,Flu ED visits pct
triad-area,2026-02-14,3,0.18381021866273708,ACCIDDA-InfluPaint,Flu ED visits pct
wnc,2026-02-14,3,0.14462656690526549,ACCIDDA-InfluPaint,Flu ED visits pct
clt-area,2026-02-14,3,0.08851286546667828,ACCIDDA-InfluPaint,Flu ED visits pct
portland-or,2026-02-14,3,0.717231070979171,ACCIDDA-InfluPaint,Flu ED visits pct
salem,2026-02-14,3,1.1701862837231234,ACCIDDA-InfluPaint,Flu ED visits pct
deschutes,2026-02-14,3,0.9238690448531499,ACCIDDA-InfluPaint,Flu ED visits pct
eugene,2026-02-14,3,0.7692358559694857,ACCIDDA-InfluPaint,Flu ED visits pct
medford,2026-02-14,3,1.143823725513211,ACCIDDA-InfluPaint,Flu ED visits pct
denver,2026-02-14,2,0.1548350332237478,ACCIDDA-InfluPaint,Flu ED visits pct
mesa,2026-02-14,2,0.16095130295061966,ACCIDDA-InfluPaint,Flu ED visits pct
colorado-springs,2026-02-14,2,0.08634166261533671,ACCIDDA-InfluPaint,Flu ED visits pct
weld,2026-02-14,2,0.18397196398627144,ACCIDDA-InfluPaint,Flu ED visits pct
boulder,2026-02-14,2,0.07149033790322334,ACCIDDA-InfluPaint,Flu ED visits pct
